"","fips","familyCode","ageAdjustment","marriedUnder6","marriedOver6","marriedBoth","unmarriedUnder6","unmarriedOver6","unmarriedBoth"
"261",41025,"a1i2p0s0t0",0.25,0.155,0.531,0.314,0.845,0.469,0.686
"262",41025,"a1i1p1s0t0",0.5,0.155,0.531,0.314,0.845,0.469,0.686
"263",41025,"a1i1p0s1t0",0.2692,0.155,0.531,0.314,0.845,0.469,0.686
"264",41025,"a1i1p0s0t1",0.2308,0.155,0.531,0.314,0.845,0.469,0.686
"265",41025,"a1i0p2s0t0",0.25,0.155,0.531,0.314,0.845,0.469,0.686
"266",41025,"a1i0p1s1t0",0.2692,0.155,0.531,0.314,0.845,0.469,0.686
"267",41025,"a1i0p1s0t1",0.2308,0.155,0.531,0.314,0.845,0.469,0.686
"268",41025,"a1i0p0s2t0",0.2899,0.155,0.531,0.314,0.845,0.469,0.686
"269",41025,"a1i0p0s1t1",0.497,0.155,0.531,0.314,0.845,0.469,0.686
"270",41025,"a1i0p0s0t2",0.213,0.155,0.531,0.314,0.845,0.469,0.686
"271",41025,"a2i2p0s0t0",0.25,0.155,0.531,0.314,0.845,0.469,0.686
"272",41025,"a2i1p1s0t0",0.5,0.155,0.531,0.314,0.845,0.469,0.686
"273",41025,"a2i1p0s1t0",0.2692,0.155,0.531,0.314,0.845,0.469,0.686
"274",41025,"a2i1p0s0t1",0.2308,0.155,0.531,0.314,0.845,0.469,0.686
"275",41025,"a2i0p2s0t0",0.25,0.155,0.531,0.314,0.845,0.469,0.686
"276",41025,"a2i0p1s1t0",0.2692,0.155,0.531,0.314,0.845,0.469,0.686
"277",41025,"a2i0p1s0t1",0.2308,0.155,0.531,0.314,0.845,0.469,0.686
"278",41025,"a2i0p0s2t0",0.2899,0.155,0.531,0.314,0.845,0.469,0.686
"279",41025,"a2i0p0s1t1",0.497,0.155,0.531,0.314,0.845,0.469,0.686
"280",41025,"a2i0p0s0t2",0.213,0.155,0.531,0.314,0.845,0.469,0.686
"281",41027,"a1i2p0s0t0",0.25,0.242,0.553,0.205,0.758,0.447,0.795
"282",41027,"a1i1p1s0t0",0.5,0.242,0.553,0.205,0.758,0.447,0.795
"283",41027,"a1i1p0s1t0",0.2692,0.242,0.553,0.205,0.758,0.447,0.795
"284",41027,"a1i1p0s0t1",0.2308,0.242,0.553,0.205,0.758,0.447,0.795
"285",41027,"a1i0p2s0t0",0.25,0.242,0.553,0.205,0.758,0.447,0.795
"286",41027,"a1i0p1s1t0",0.2692,0.242,0.553,0.205,0.758,0.447,0.795
"287",41027,"a1i0p1s0t1",0.2308,0.242,0.553,0.205,0.758,0.447,0.795
"288",41027,"a1i0p0s2t0",0.2899,0.242,0.553,0.205,0.758,0.447,0.795
"289",41027,"a1i0p0s1t1",0.497,0.242,0.553,0.205,0.758,0.447,0.795
"290",41027,"a1i0p0s0t2",0.213,0.242,0.553,0.205,0.758,0.447,0.795
"291",41027,"a2i2p0s0t0",0.25,0.242,0.553,0.205,0.758,0.447,0.795
